Date,Site,Observer ,Species,Size_cm,Stage,Time_Beg,Time_End,Time_Period,Seconds_Observed,Depth_Beg,Dept_End,Depth_cat,Bare,Rubble,CCA,Sand ,Other,Total_Bites,Bite_Rate,Notes
2010-07-30,LTER_1,TA,Ctenochaetus striatus,15,,09:56:30,10:01:30,1,300,30,37,10_m,85,0,0,0,0,85,17,Chased by C striatus
2010-07-30,LTER_1,MS,Chlorurus sordidus,20,Terminal_Phase,10:00:45,10:05:45,1,300,31,29,10_m,65,6,0,0,0,71,14.2,Chased C sordidus twice
2010-07-30,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,10:02:30,10:07:30,1,300,35,37,10_m,94,7,0,0,0,101,20.2,Bit by Piano fang blenny
2010-07-30,LTER_1,MS,Ctenochaetus striatus,12,,10:06:30,10:11:30,1,300,30,30,10_m,161,30,0,0,0,191,38.2,Chased C sordidus twice
2010-07-30,LTER_1,TA,Ctenochaetus striatus,17,,10:10:00,10:15:00,1,300,25,25,10_m,13,0,0,0,0,13,2.6,chased by stegastes; sheltering out of sight 3 min
2010-07-29,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,10:10:00,10:15:00,1,300,50,50,17_m,2,91,0,0,0,93,18.6,
2010-07-30,LTER_1,MS,Chlorurus sordidus,18,Initial_Phase,10:12:00,10:17:00,1,300,30,28,10_m,76,8,0,0,0,84,16.8,
2010-07-29,LTER_1,MS,Ctenochaetus striatus,13,,10:12:00,10:15:15,1,195,52,46,17_m,114,32,0,0,0,146,44.92307692,Chased by C striatus once
2010-07-30,LTER_1,TA,Ctenochaetus striatus,14,,10:16:00,10:20:00,1,240,27,30,10_m,75,0,0,0,0,75,18.75,
2010-07-29,LTER_1,MS,Chlorurus sordidus,16,Terminal_Phase,10:16:00,10:21:23,1,323,47,47,17_m,11,101,,,4,116,21.54798762,Other = asparagopsis
2010-07-29,LTER_1,TA,Chlorurus sordidus,18,Initial_Phase,10:16:00,10:21:00,1,300,48,48,17_m,3,123,0,0,0,126,25.2,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,14,,10:18:00,10:21:30,1,210,30,30,10_m,178,0,0,0,0,178,50.85714286,
2010-07-29,LTER_1,TA,Chlorurus sordidus,21,Terminal_Phase,10:22:00,10:27:00,1,300,45,45,17_m,128,0,0,0,0,128,25.6,"Chased IP C sordidus twice, cleaned by L. dimidiatus twice 6 sec, 4 sec. chased cleaner both times"
2010-07-30,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,10:23:00,10:28:00,1,300,29,29,10_m,106,12,0,0,0,118,23.6,"Chased by 1 TP C sordidus, 2 IP C sordidus"
2010-07-30,LTER_1,MS,Ctenochaetus striatus,14,,10:24:00,10:29:00,1,300,31,28,10_m,136,8,0,0,0,144,28.8,Bitten by 2 piano fang blennies 
2010-07-29,LTER_1,MS,Ctenochaetus striatus,13,,10:27:00,10:32:00,1,300,48,41,17_m,108,0,16,0,0,124,24.8,
2010-07-30,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,10:29:00,10:34:00,1,300,32,32,10_m,97,0,0,0,0,97,19.4,"Chased 3 TP C sordidus, 1 was very violent"
2010-07-30,LTER_1,MS,Chlorurus sordidus,18,Initial_Phase,10:29:30,10:34:52,1,322,29,26,10_m,89,32,3,0,0,124,23.10559006,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,16,,10:30:00,10:35:00,1,300,53,53,17_m,135,15,0,0,0,150,30,Chased C striatus 8 times
2010-07-29,LTER_1,MS,Ctenochaetus striatus,12,,10:35:30,10:40:30,1,300,51,51,17_m,113,215,0,0,0,328,65.6,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,17,,10:38:00,10:43:00,1,300,52,52,17_m,87,80,26,0,0,193,38.6,Aggressive display with other C. striatus twice
2010-07-29,LTER_1,MS,Chlorurus sordidus,16,Initial_Phase,10:41:30,10:46:30,1,300,50,52,17_m,30,115,0,0,0,145,29,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,16,,10:44:30,10:49:30,1,300,54,54,17_m,172,12,34,0,0,218,43.6,Chased C striatus 4 times
2010-07-29,LTER_1,MS,Chlorurus sordidus,22,Terminal_Phase,10:47:00,10:53:00,1,360,49,45,17_m,79,0,20,0,0,99,16.5,
2010-07-23,LTER_1,TA,Chlorurus sordidus,25,Terminal_Phase,10:58:00,11:03:00,1,300,30,33,10_m,28,0,0,0,0,28,5.6,Chased other TP C sordidus a couple of times and appeared to be patrolling small territory
2010-07-30,LTER_1,TA,Ctenochaetus striatus,16,,11:03:00,11:08:00,2,300,48,50,17_m,86,0,20,0,0,106,21.2,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,13,,11:04:00,11:09:00,2,300,50,50,17_m,15,41,0,0,0,56,11.2,"Schooling for 4 min, no feeding during this time"
2010-07-23,LTER_1,TA,Chlorurus sordidus,23,Terminal_Phase,11:05:00,11:10:00,2,300,28,30,10_m,57,0,0,0,0,57,11.4,
2010-07-30,LTER_1,TA,Ctenochaetus striatus,14,,11:09:30,11:14:00,2,270,49,49,17_m,12,0,5,0,0,17,3.777777778,chased by C striatus once
2010-07-30,LTER_1,MS,Chlorurus sordidus,22,Terminal_Phase,11:10:00,11:15:00,2,300,52,50,17_m,90,15,0,0,0,105,21,
2010-07-23,LTER_1,TA,Chlorurus sordidus,16,Initial_Phase,11:12:00,11:17:00,2,300,27,30,10_m,147,0,0,0,0,147,29.4,Chased by TP C sordidus
2010-07-23,LTER_1,MS,Ctenochaetus striatus,14,,11:13:00,11:18:00,2,300,40,44,10_m,43,0,1,0,0,44,8.8,
2010-07-30,LTER_1,TA,Ctenochaetus striatus,15,,11:16:30,11:21:00,2,270,53,53,17_m,100,100,31,0,0,231,51.33333333,
2010-07-30,LTER_1,MS,Chlorurus sordidus,19,Initial_Phase,11:17:30,11:22:30,2,300,51,53,17_m,80,64,0,0,0,144,28.8,
2010-07-23,LTER_1,TA,Ctenochaetus striatus,16,,11:18:00,11:23:00,2,300,32,44,10_m,29,15,0,0,0,44,8.8,
2010-07-23,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,11:19:00,11:24:10,2,310,45,55,17_m,31,41,0,0,0,72,13.93548387,
2010-07-30,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,11:22:00,11:27:00,2,300,52,52,17_m,26,68,0,0,0,94,18.8,cleaned by L. dimidiatus 16 sec
2010-07-23,LTER_1,TA,Ctenochaetus striatus,14,,11:26:00,11:30:00,2,240,29,43,10_m,18,0,0,0,0,18,4.5,
2010-07-23,LTER_1,MS,Ctenochaetus striatus,15,,11:26:00,11:31:00,2,300,55,48,17_m,44,0,0,0,0,44,8.8,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,13,,11:26:00,11:31:00,2,300,30,26,10_m,94,25,13,0,0,132,26.4,
2010-07-30,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,11:29:00,11:34:00,2,300,51,51,17_m,90,68,3,0,0,161,32.2,
2010-07-30,LTER_1,MS,Chlorurus sordidus,19,Initial_Phase,11:32:00,11:37:00,2,300,30,30,10_m,62,0,0,0,0,62,12.4,
2010-07-23,LTER_1,TA,Ctenochaetus striatus,14,,11:34:00,11:38:00,2,240,30,30,10_m,122,0,0,0,0,122,30.5,Chased by Stegastes and also chased by other C striatus
2010-07-23,LTER_1,MS,Chlorurus sordidus,20,Initial_Phase,11:34:00,11:38:07,2,247,35,50,10_m,62,0,0,0,0,62,15.06072874,
2010-07-30,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,11:36:00,11:41:00,2,300,51,51,17_m,90,80,0,0,0,170,34,
2010-07-30,LTER_1,MS,Ctenochaetus striatus,15,,11:39:00,11:44:00,2,300,30,39,10_m,61,56,29,0,0,146,29.2,Chased C striatus twice; bit by a fang blenny; spent time hiding in rocks
2010-07-23,LTER_1,MS,Chlorurus sordidus,18,Terminal_Phase,11:47:00,11:52:05,2,305,30,32,10_m,83,0,0,0,0,83,16.32786885,
2010-07-26,LTER_1,TA,Chlorurus sordidus,18,Initial_Phase,11:59:00,12:04:00,2,300,30,26,10_m,145,0,0,0,0,145,29,
2010-07-26,LTER_1,MS,Chlorurus sordidus,15,Terminal_Phase,12:00:00,12:05:00,3,300,34,31,10_m,112,0,0,0,0,112,22.4,Chased other TP C sordidus twice and appeared to be patrolling small territory
2010-07-26,LTER_1,TA,Ctenochaetus striatus,16,,12:05:00,12:10:00,3,300,28,32,10_m,34,0,0,0,0,34,6.8,chased by other C striatus
2010-07-26,LTER_1,MS,Chlorurus sordidus,18,Terminal_Phase,12:07:00,12:12:00,3,300,30,28,10_m,95,0,0,0,0,95,19,Chased C sordidus twice; chased once by C sordidus
2010-07-29,LTER_1,TA,Ctenochaetus striatus,16,,12:11:30,12:16:30,3,300,50,50,17_m,178,0,70,0,0,248,49.6,
2010-07-29,LTER_1,MS,Chlorurus sordidus,17,Initial_Phase,12:12:30,12:17:30,3,300,49,47,17_m,23,160,0,0,0,183,36.6,
2010-07-26,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,12:13:00,12:18:00,3,300,32,32,10_m,115,0,0,0,0,115,23,Chased other C sordidus once
2010-07-26,LTER_1,TA,Chlorurus sordidus,22,Terminal_Phase,12:14:30,12:19:30,3,300,26,30,10_m,82,0,0,0,0,82,16.4,
2010-07-29,LTER_1,MS,Ctenochaetus striatus,12,,12:18:30,12:23:30,3,300,50,46,17_m,70,160,3,0,0,233,46.6,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,12,,12:19:00,12:24:00,3,300,31,32,10_m,91,0,0,0,0,91,18.2,
2010-07-26,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,12:20:30,12:24:50,3,260,27,36,10_m,97,2,0,0,0,99,22.84615385,
2010-07-29,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,12:22:00,12:27:20,3,320,52,50,17_m,47,49,0,0,0,96,18,"Chased 2 TP C sordidus, cleaned by L. dimidiatus 12 sec"
2010-07-29,LTER_1,MS,Chlorurus sordidus,19,Terminal_Phase,12:24:00,12:29:00,3,300,54,50,17_m,35,7,3,0,0,45,9,lots of swimming
2010-07-26,LTER_1,TA,Ctenochaetus striatus,13,,12:26:30,12:29:15,3,165,27,36,10_m,45,0,31,0,0,76,27.63636364,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,13,,12:26:30,12:31:30,3,300,30,35,10_m,168,1,0,0,0,169,33.8,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,15,,12:29:00,12:34:00,3,300,52,52,17_m,122,98,40,0,0,260,52,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,14,,12:29:30,12:34:30,3,300,30,30,10_m,152,0,0,0,3,155,31,Other = all-thread
2010-07-29,LTER_1,MS,Ctenochaetus striatus,15,,12:30:00,12:35:05,3,305,55,55,17_m,33,50,14,0,0,97,19.08196721,4 dominant aggressive interactions with smaller C striatus
2010-07-29,LTER_1,TA,Ctenochaetus striatus,15,,12:35:00,12:39:50,3,290,55,56,17_m,121,60,67,0,0,248,51.31034483,"Chased by 1 C striatus, Chased 2 C striatus"
2010-07-26,LTER_1,TA,Ctenochaetus striatus,13,,12:38:00,12:42:15,3,255,30,37,10_m,27,0,20,0,0,47,11.05882353,chased by stegastes 3 times
2010-07-29,LTER_1,MS,Ctenochaetus striatus,13,,12:38:00,12:43:00,3,300,52,55,17_m,10,231,6,0,0,247,49.4,
2010-07-29,LTER_1,TA,Chlorurus sordidus,14,Initial_Phase,12:41:00,12:46:00,3,300,52,53,17_m,79,31,0,0,0,110,22,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,14,,12:42:30,12:47:30,3,300,48,46,17_m,185,28,0,0,3,216,43.2,Other = asparagopsis
2010-07-29,LTER_1,MS,Chlorurus sordidus,20,Initial_Phase,12:44:00,12:49:00,3,300,52,50,17_m,107,30,0,0,0,137,27.4,
2010-07-26,LTER_1,MS,Chlorurus sordidus,19,Terminal_Phase,12:49:00,12:54:00,3,300,48,46,17_m,75,39,0,0,0,114,22.8,
2010-07-29,LTER_1,TA,Chlorurus sordidus,15,Initial_Phase,12:49:30,12:54:30,3,300,51,51,17_m,42,92,35,0,0,169,33.8,
2010-08-09,LTER_1,TA,Chlorurus sordidus,21,Terminal_Phase,12:54:00,12:59:00,3,300,30,30,10_m,129,0,0,0,0,129,25.8,Chased once by TP C sordidus; Chased IP C sordidus 6 times
2010-08-09,LTER_1,MS,Chlorurus sordidus,22,Terminal_Phase,12:56:00,13:01:00,3,300,29,30,10_m,74,0,0,0,0,74,14.8,
2010-07-27,LTER_1,MS,Chlorurus sordidus,16,Terminal_Phase,14:00:30,14:05:30,4,300,52,54,17_m,33,95,0,0,0,128,25.6,
2010-07-26,LTER_1,TA,Chlorurus sordidus,16,Initial_Phase,14:05:00,14:10:00,4,300,30,30,10_m,115,0,0,0,0,115,23,chased by C sordidus
2010-07-27,LTER_1,TA,Ctenochaetus striatus,16,,14:06:00,14:09:30,4,210,55,55,17_m,88,20,38,0,0,146,41.71428571,"chased C striatus 3 times, defending territory"
2010-07-26,LTER_1,MS,Chlorurus sordidus,15,Terminal_Phase,14:07:00,14:12:00,4,300,34,34,10_m,112,0,0,0,0,112,22.4,cleaned by wrasse
2010-07-27,LTER_1,MS,Ctenochaetus striatus,12,,14:07:00,14:11:11,4,251,50,55,17_m,38,0,3,0,0,41,9.800796813,
2010-07-26,LTER_1,TA,Ctenochaetus striatus,14,,14:11:00,14:16:00,4,300,30,33,10_m,93,20,0,0,0,113,22.6,
2010-07-27,LTER_1,TA,Ctenochaetus striatus,14,,14:11:00,14:16:00,4,300,53,53,17_m,100,46,0,0,0,146,29.2,"chased C striatus once, chased by C striatus once"
2010-07-27,LTER_1,MS,Ctenochaetus striatus,14,,14:12:00,14:17:00,4,300,53,51,17_m,57,110,0,0,0,167,33.4,
2010-07-26,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,14:13:00,14:18:00,4,300,30,28,10_m,73,12,0,0,0,85,17,
2010-07-27,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,14:18:00,14:23:00,4,300,52,50,17_m,47,79,0,0,0,126,25.2,
2010-07-27,LTER_1,TA,Chlorurus sordidus,19,Initial_Phase,14:18:30,14:23:30,4,300,50,50,17_m,110,20,0,0,0,130,26,
2010-07-26,LTER_1,MS,Chlorurus sordidus,18,Terminal_Phase,14:20:00,14:25:00,4,300,30,32,10_m,108,19,0,0,0,127,25.4,
2010-07-26,LTER_1,TA,Chlorurus sordidus,20,Initial_Phase,14:21:00,14:26:00,4,300,30,35,10_m,71,0,0,0,0,71,14.2,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,13,,14:25:00,14:30:00,4,300,32,32,10_m,182,3,0,0,0,185,37,
2010-07-27,LTER_1,TA,Chlorurus sordidus,21,Terminal_Phase,14:25:30,14:30:30,4,300,51,51,17_m,16,0,6,0,0,22,4.4,
2010-07-26,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,14:28:00,14:33:00,4,300,30,33,10_m,64,0,0,0,0,64,12.8,
2010-07-27,LTER_1,MS,Ctenochaetus striatus,15,,14:29:00,14:34:00,4,300,52,55,17_m,98,8,0,0,0,106,21.2,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,14,,14:33:00,14:38:00,4,300,30,27,10_m,170,0,0,0,0,170,34,
2010-07-27,LTER_1,TA,Chlorurus sordidus,22,Terminal_Phase,14:33:30,14:38:30,4,300,50,50,17_m,78,10,0,0,0,88,17.6,chased IP C sordidus twice
2010-07-27,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,14:35:00,14:40:00,4,300,50,50,17_m,87,32,3,0,0,122,24.4,
2010-07-26,LTER_1,MS,Ctenochaetus striatus,13,,14:39:00,14:44:11,4,311,32,36,10_m,202,0,0,0,0,202,38.97106109,
2010-07-26,LTER_1,TA,Ctenochaetus striatus,13,,14:40:30,14:45:30,4,300,32,37,10_m,88,0,44,0,0,132,26.4,"defending small territory, chased lots of other C striatus"
2010-07-26,LTER_1,TA,Ctenochaetus striatus,14,,14:50:00,14:56:00,4,360,28,28,10_m,18,0,0,0,0,18,3,
2010-07-24,LTER_1,TA,Ctenochaetus striatus,14,,14:53:00,14:57:00,4,240,25,25,10_m,16,0,0,0,0,16,4,Lots of aggressive interactions with other C. striatus
2010-07-24,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,15:00:00,15:05:00,5,300,30,36,10_m,51,83,0,0,0,134,26.8,
2010-07-24,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,15:02:00,15:05:50,5,230,30,32,10_m,77,0,0,0,0,77,20.08695652,Chased by TP C sordidus
2010-07-24,LTER_1,TA,Chlorurus sordidus,22,Terminal_Phase,15:14:00,15:18:00,5,240,28,28,10_m,74,0,0,0,0,74,18.5,
2010-07-27,LTER_1,TA,Chlorurus sordidus,20,Terminal_Phase,15:16:00,15:21:00,5,300,55,55,17_m,69,25,9,0,0,103,20.6,
2010-07-27,LTER_1,MS,Chlorurus sordidus,18,Terminal_Phase,15:23:00,15:28:00,5,300,52,48,17_m,1,86,0,0,0,87,17.4,
2010-07-24,LTER_1,TA,Chlorurus sordidus,22,Terminal_Phase,15:23:00,15:28:00,5,300,30,33,10_m,69,0,0,0,0,69,13.8,Chased 2 IP C sordidus
2010-07-27,LTER_1,TA,Chlorurus sordidus,16,Initial_Phase,15:27:00,15:32:00,5,300,53,53,17_m,136,22,0,0,0,158,31.6,nipped by C striatus
2010-07-24,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,15:27:30,15:32:20,5,290,30,33,10_m,91,19,0,0,0,110,22.75862069,
2010-07-27,LTER_1,MS,Chlorurus sordidus,16,Initial_Phase,15:29:00,15:34:00,5,300,48,50,17_m,19,82,0,0,0,101,20.2,
2010-07-27,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,15:33:00,15:37:30,5,270,50,72,17_m,171,5,0,0,0,176,39.11111111,nipped by stegastes
2010-07-24,LTER_1,MS,Ctenochaetus striatus,13,,15:34:00,15:39:22,5,322,28,24,10_m,95,0,0,0,0,95,17.70186335,
2010-07-27,LTER_1,MS,Chlorurus sordidus,17,Initial_Phase,15:36:00,15:41:05,5,305,54,50,17_m,27,106,0,0,0,133,26.16393443,
2010-07-28,LTER_1,TA,Ctenochaetus striatus,16,,15:36:00,15:40:00,5,240,55,56,17_m,59,0,0,0,0,59,14.75,chased C striatus once
2010-07-24,LTER_1,TA,Ctenochaetus striatus,14,,15:36:30,15:41:00,5,270,30,45,10_m,28,0,0,0,0,28,6.222222222,Bitten by a fang blenny and chased by another C striatus
2010-07-28,LTER_1,MS,Ctenochaetus striatus,14,,15:37:00,15:40:46,5,226,49,42,17_m,71,106,6,0,0,183,48.5840708,
2010-07-27,LTER_1,MS,Ctenochaetus striatus,13,,15:42:00,15:46:32,5,272,50,50,17_m,66,206,0,0,0,272,60,Chased C striatus twice
2010-07-28,LTER_1,TA,Ctenochaetus striatus,15,,15:42:00,15:47:00,5,300,52,52,17_m,195,90,5,0,0,290,58,chased C striatus 5 times
2010-07-24,LTER_1,MS,Chlorurus sordidus,17,Terminal_Phase,15:43:30,15:48:30,5,300,49,56,17_m,46,37,0,0,0,83,16.6,
2010-07-24,LTER_1,TA,Ctenochaetus striatus,15,,15:44:00,15:49:00,5,300,30,40,10_m,134,0,0,0,0,134,26.8,
2010-07-28,LTER_1,MS,Ctenochaetus striatus,15,,15:44:30,15:49:30,5,300,55,57,17_m,209,16,66,0,0,291,58.2,Scooling
2010-07-28,LTER_1,TA,Ctenochaetus striatus,16,,15:50:00,15:55:00,5,300,55,55,17_m,4,238,4,0,0,246,49.2,chased C striatus twice
2010-07-28,LTER_1,MS,Chlorurus sordidus,17,Initial_Phase,15:50:33,15:55:30,5,297,53,58,17_m,109,73,0,0,0,182,36.76767677,Chased by TP C sordidus once
2010-07-24,LTER_1,MS,Ctenochaetus striatus,14,,15:51:00,15:55:21,5,261,50,42,17_m,71,23,0,0,0,94,21.6091954,